

        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
197507  -5.39  -2.04  -5.89  -4.08  -9.39  -4.41  -7.35 -12.03  -4.76  -6.13
197508  -3.01  -3.53  -0.75  -0.96  -2.96  -3.71   0.19  -3.32  -1.31  -5.28
197509  -2.67  -2.32  -5.74  -1.17  -0.85  -1.24  -3.81  -6.51  -0.95  -6.13
197510  10.56   9.00   5.65  -1.42   8.38   7.11   9.64  10.66   6.51   3.84
197511   4.06   3.52   3.06  -1.75   5.02   4.05   4.23   5.15   3.11   3.61
197512  -1.49  -0.49  -1.39   0.18  -1.23   0.16  -2.96  -6.34   1.33  -0.17
197601  10.94  15.56  16.76   8.33  18.31   9.51   9.74   7.77   8.38  12.65
197602  -1.07   3.75   1.81  -3.25   1.19   3.33   4.44  -6.47  -3.48   3.05
197603   0.65   3.61   1.11   7.39   2.98   0.57   3.79   6.50   1.41   1.83
197604  -1.68   1.74  -1.46   2.23  -3.40   2.03  -4.25  -4.30   0.64  -1.54
197605  -2.14  -3.28  -1.22   5.38   0.54  -3.06  -5.55  -2.80  -1.35  -1.58
197606   3.66   4.15   3.66   5.19   8.21   3.75   1.17   3.65   4.24   5.48
197607   1.57  -1.07  -1.83  -0.66  -2.21   1.29  -2.42  -0.40   2.82   0.05
197608  -0.31  -1.32  -1.70  -0.88  -0.82   4.52   2.89   2.15   2.91  -1.08
197609   1.50   4.56   1.14   6.20   2.88   1.70   0.54   3.62   4.08   0.89
197610  -1.59  -1.20  -3.32  -2.37  -4.49   1.41  -0.32  -3.75  -0.83  -0.61
197611   1.74  -0.74  -0.44   0.94   1.65   2.61   4.43  -9.67   3.17   2.23
197612   5.22   9.58   5.92   6.20   3.83   3.49   2.79   6.26   6.57   8.16
197701  -3.99  -4.26  -5.91   0.29  -3.88  -0.20  -7.12  -8.82   0.81  -3.98
197702  -1.42  -3.55  -0.77  -2.89  -0.64   1.28  -1.74  -0.22  -3.40  -1.73
197703  -1.35  -3.41  -0.44  -2.10  -0.05  -1.05  -2.61  -1.75   0.17  -0.05
197704   0.47   3.10   0.54   2.62  -3.47   0.42  -3.33  -5.15   1.95   2.29
197705  -0.90  -0.57  -2.96  -0.39  -1.48   1.40  -3.02  -1.88   1.67  -0.58
197706   4.54   4.22   3.36   6.06   7.79   1.55   6.05   9.03   5.73   5.23
197707   1.24  -2.35  -3.53  -1.90  -0.15  -0.71  -0.79  -2.24   0.88  -0.13
197708   0.10  -0.78  -1.14  -5.73   0.50  -2.33   4.39   3.79  -3.26  -1.37
197709   0.20   1.66  -1.04   0.74  -1.79   3.87  -0.87  -0.83   2.00   0.01
197710  -3.36  -4.43  -4.56  -3.52  -3.19  -5.37  -2.99  -1.69  -3.15  -4.32
197711   4.59   1.83   4.34   3.40   5.21   2.18   5.60   6.02   4.28   6.28
197712   0.00  -0.61   0.71   1.69   2.39   2.32  -1.36   0.60  -0.31   0.67
197801  -5.25  -6.83  -5.97  -6.91  -4.72  -4.21  -7.10  -1.81  -4.59  -4.86
197802   0.15   0.40  -2.65  -1.08  -3.49   4.59  -0.63  -3.00  -0.39   0.01
197803   4.16   5.97   3.96   2.03  -0.70   2.83   2.77   4.17   2.50   5.27
197804   6.85   9.56  11.46   6.92  13.32   3.21  11.17   9.18   0.26   9.08
197805   4.33  -0.08   4.06   0.89   1.63  -0.50   0.77   5.28   0.72   2.72
197806  -0.27  -2.88  -1.37  -3.85  -0.34  -1.56  -1.69   1.09   0.83  -0.21
197807   3.59   4.48   7.87   3.38   8.59   1.45   5.54   8.87   2.75   6.24
197808   4.12   2.66   3.90   5.17   6.01   3.56   5.67   1.02   0.48   6.28
197809  -0.42  -0.29  -2.15   4.64  -4.16   1.49  -2.73  -2.76  -0.24  -1.14
197810 -11.50 -11.07 -11.32 -10.63 -10.80  -4.70 -13.81 -12.89  -7.11 -13.98
197811   2.28   0.72   3.03   6.13   5.07   3.38   2.21   5.16   3.09   2.46
197812   1.71  -0.39   1.46   2.79   6.43  -0.05  -0.82   3.39  -1.23   1.37
197901   4.16   4.64   6.52   3.41   4.29   3.82   6.31   1.43   6.32   5.78
197902  -3.47  -3.30  -4.47   0.32  -3.28  -0.68  -4.20  -4.49  -1.62  -3.22
197903   4.07   6.29   7.37   9.12   7.61   0.30   5.70   5.08   2.40   8.13
197904   0.21   2.98  -0.46   4.26   0.32  -2.55   0.70   0.46  -2.73   1.58
197905  -1.81  -0.74  -2.24  -2.59  -1.96   0.18  -2.74  -2.67   1.45  -0.18
197906   3.22   3.02   3.60   9.15   0.48   2.14   2.78   4.82   4.97   6.87
197907   2.10   1.65   1.99   1.83  -1.52  -0.23   0.92   0.13   2.13   3.39
197908   7.56   4.67   7.62   7.94   5.93   1.63   8.86   8.57   2.06   5.72
197909  -1.93   0.40  -0.78   5.82  -1.79  -2.42  -0.80  -0.52  -2.14  -0.74
197910  -7.64  -9.38  -8.81  -2.45  -7.74  -4.80  -9.09  -4.39  -5.78 -10.01
197911   5.17  -2.89   4.75   8.97   8.15   4.06   3.77   8.74   7.81   6.99
197912   3.37   3.56   4.50   2.65   1.79  -1.37   3.10   2.13  -0.91   3.99
198001   3.14   8.75   7.10  14.03   7.38  -2.47   1.37  -1.31   1.62   5.30
198002  -4.81  -6.26  -2.49  12.45  -3.55  -1.08  -4.52  -4.56  -3.35  -3.42
198003  -8.23  -8.51 -11.76 -17.76 -12.69  -2.77  -8.68  -2.84  -6.69 -12.10
198004   6.46  -1.56   3.25   6.71   0.73   7.26   3.21   4.30  11.93   6.02
198005   7.87   4.21   6.27   4.08   4.78   4.86  10.71   6.95   4.59   7.92
198006   2.94   2.98   2.26   5.73   3.04  -0.83   2.07   0.28   4.59   5.22
198007   7.69  11.50  10.87   1.75  15.48   0.94  10.29   8.87  -0.15   6.70
198008   1.43   1.56   1.64   3.78   3.64   5.57   1.78   0.31  -1.23   2.83
198009   0.19   0.73   2.79   6.84   1.98  -1.54   0.57   3.61   0.04   3.85
198010   0.33  -1.39   0.27   7.84   1.95  -2.82  -1.26  -1.25   2.05   1.39
198011   1.01   4.29   8.25  24.54   9.77  -0.05   2.58   8.61   7.64   7.27
198012   1.01  -1.14  -1.98 -10.82  -1.18   0.08  -1.34   4.72  -1.93  -0.72
198101   2.03  -1.58  -1.82 -10.43  -8.02   6.23   0.98  -1.57  -2.57  -2.58
198102   2.50   6.17   4.33  -0.41   0.48   2.29   2.94   1.89  -1.33   1.61
198103   6.94   7.08   5.97  -2.44   4.98   1.41  12.28   5.82   3.03   8.30
198104   1.11   1.64  -0.88  -7.30   0.12   6.37   2.66   3.06  -2.58   1.05
198105   2.64   2.91  -0.29  -3.92   4.21   7.32   2.58   3.46   1.75   2.50
198106  -0.26  -4.02  -1.30   4.67  -6.67  -2.28  -1.72  -5.59   3.15  -0.77
198107  -0.60  -3.11  -2.78   7.94  -3.78   0.05  -3.62  -3.86   3.00  -2.33
198108  -5.08  -7.50  -6.89  -6.52  -7.25  -1.34  -5.30  -7.73  -0.61  -5.29
198109  -2.15  -3.13  -7.08 -12.23  -3.88   2.95  -4.29  -1.27  -5.32  -5.33
198110   7.59  -3.79   3.67   9.96   5.13   5.35   6.51   8.00   4.98   7.44
198111   2.69   4.67   4.53   6.85   1.54   2.53   1.30   3.58   5.76   4.77
198112  -1.80   0.21  -1.62  -6.38  -0.01  -1.51  -2.08  -0.79  -2.27  -3.52
198201  -0.91   1.01  -3.27  -8.52   2.81   0.78  -0.24   1.40  -0.50  -3.08
198202  -1.92  -1.80  -5.66 -10.96  -5.24  -5.55  -1.40  -1.78  -0.15  -3.59
198203   2.43   4.13  -1.69  -3.54  -3.55   2.41   3.84  -2.55   1.62  -1.36
198204   6.61   4.69   3.19   4.51   7.39  -0.84   5.17   7.32   3.82   4.01
198205  -3.20  -1.57  -4.66   2.35  -5.43  -1.04  -3.01  -3.05  -0.56  -5.48
198206   1.73   2.76  -2.54  -6.46  -2.31  -2.55   2.93  -0.73  -2.21  -2.44
198207  -0.46  -0.26  -2.25  -8.09   1.52   1.18   0.33   0.83  -2.75  -3.12
198208   9.16  13.31  13.95   9.78  12.82  10.84  12.85  12.33  11.92  10.59
198209   5.24  -0.52  -1.00   2.13   1.17   1.05   4.39   1.28   1.23   4.18
198210  10.27  16.49  13.01   5.67  17.03   8.19  16.62   8.62   4.87  15.20
198211   5.09   8.12   5.88  -4.24  10.70   6.01  10.95   5.46   0.12   7.50
198212   0.83   3.23   0.67   5.31   2.64  -1.23  -1.26   0.57   4.25  -1.38
198301  -0.96   4.85   4.94   3.68   8.43  12.33   1.37   1.42   3.56   2.84
198302   3.72   3.27   4.09  -0.22   3.55  -0.29   8.12   2.87   1.42   4.47
198303   7.42  -0.67   2.10   5.77   0.66   0.71   8.15   4.49   0.32   5.09
198304   6.25  11.06   6.34   9.47   7.51   5.12   8.83   4.97   4.72   8.33
198305  -0.98  -2.10   2.01   1.21   2.71  -1.28   0.49  -2.60   2.54   2.54
198306   2.92   9.90   1.54   6.74   6.13   0.23   5.45   6.79  -0.42   1.93
198307  -2.72  -3.42  -2.55  -2.51  -5.33  -5.18  -3.36  -5.67   1.02  -3.38
198308   0.71  -2.66   0.72   7.33  -1.08   2.20  -4.94  -1.10   1.63  -0.71
198309   4.79   4.55   2.31  -4.94   2.11   2.26   2.47   1.17   4.64   1.69
198310  -0.21   0.68  -2.25  -2.21  -6.91  -5.20  -1.49  -2.15   3.07  -3.72
198311   2.30   3.98   6.45  -0.44   2.25   3.15   4.42  -3.03  -1.63   4.41
198312  -0.27   1.07  -1.13   1.73   0.39  -1.53  -4.54  -3.67  -3.60  -0.93
198401  -0.66  -5.29  -3.52   9.83  -6.17   4.07  -5.87  -0.53   1.56  -1.29
198402  -5.49  -6.13  -6.66   3.73  -5.92  -3.69  -4.80  -2.09  -3.34  -4.50
198403   1.64   0.40   3.33   0.24   1.75  -4.21   1.34  -0.71  -0.18   2.42
198404   0.54   1.16  -0.11   4.17  -0.43   2.16   0.05   2.50  -0.27  -1.92
198405  -2.58  -5.25  -5.76  -5.20  -5.56  -3.49  -5.52  -6.69  -0.84  -6.63
198406   6.31   2.02   3.24  -2.06   1.78  12.06   6.92   3.93   0.53   2.40
198407  -1.60   2.21  -1.38  -6.94  -2.29   2.88   0.24  -4.15   0.01  -1.80
198408   8.73   9.83  11.85  13.61  13.85   7.15   9.86  10.21   7.68  10.58
198409   1.27  -0.19  -2.29   2.03  -3.90   4.04   0.31  -4.23   4.83   2.29
198410   1.26   2.12   0.87  -4.42  -0.56  -3.52  -0.63   1.65   3.29   0.79
198411   0.39  -3.06  -1.25  -1.01  -3.83   0.45  -2.54  -0.35   3.09  -0.27
198412   2.75   4.54   2.61  -0.55   2.40   5.33   1.13   2.71   2.63   3.45
198501   5.21  10.07   8.97   6.43  12.51   5.26  13.01   8.56   2.29   9.61
198502   5.14  -1.44   0.96   3.66  -1.30   3.37   2.15   3.32   1.44   2.18
198503   4.53  -5.42  -2.73   1.57  -6.06   4.44  -0.87   2.86   6.08   0.19
198504  -2.04  -3.61  -1.40   3.88  -3.64  -0.71  -0.08  -1.70   1.61   1.59
198505   7.93   5.22   6.39   0.94   2.88   8.35   9.42   9.50   5.47   6.21
198506   2.66   1.46   2.19  -0.66  -0.72   4.50   1.60   2.23   3.66   3.07
198507  -2.49   2.31   3.47  -0.18   4.46  -4.54  -3.70  -0.42  -4.70  -0.11
198508   0.80  -2.54  -1.12   1.18  -2.52   0.51  -1.08  -0.79   2.09  -0.10
198509  -0.93  -3.34  -3.98  -1.59  -4.73  -4.18  -4.48  -3.88  -5.29  -4.44
198510   3.64   0.91   3.29   6.40   3.01   4.06   6.70   3.19   6.31   6.34
198511   8.35   9.94   8.02   0.53   8.65   7.38   8.06   9.32   4.22   6.77
198512   5.36   7.13   4.51  -2.62   8.34   6.11   4.56   3.49   4.84   3.91
198601   2.20   2.16   1.55  -6.75  -0.30  -3.78   1.86   1.14   3.76   3.18
198602  10.59  10.92  10.31   0.62   4.93   7.39   7.66   6.08   6.55   8.46
198603   8.06   7.82   6.05  -0.11  -0.09   3.78   8.59  12.02   4.12   5.41
198604   0.24  -3.35  -1.72   0.70   3.83   2.43  -0.24   0.72  -3.53  -2.24
198605   8.70   3.26   4.50   7.08   0.96   4.78   9.66   7.25   3.77   4.68
198606   6.11  -1.21  -0.06  -1.96  -3.87   5.42   3.25   5.63   5.22   1.73
198607  -5.61  -9.07  -7.32  -5.46  -8.33  -3.02  -9.51  -5.42   5.19  -5.91
198608   3.01   7.51   6.27  16.36   6.95   6.88   2.11   3.95   7.92   6.85
198609 -10.89  -8.19  -6.76  -0.43  -6.94  -9.30  -8.50 -13.95  -9.10  -8.52
198610   8.81   6.51   6.58   2.05   0.59   4.66   7.65   7.66   5.25   3.61
198611   0.65   4.79   2.86   2.99   3.53   3.94   1.70   1.13   0.53  -0.59
198612  -3.33  -2.32  -1.92  -0.14  -3.69  -3.72  -6.23  -1.57  -3.31  -2.31
198701  15.19  18.72  14.52  14.23  16.31   5.34  10.92  12.84   9.26  10.72
198702   5.19   3.50   4.87  -1.93   9.43   0.05   9.54  11.17  -2.18   5.10
198703   0.32   4.64   3.31  12.38   2.66   1.43   1.75   0.14  -1.64   0.49
198704  -3.78   3.95  -1.30   0.08   4.40  -2.41  -3.07  -2.43  -4.31  -3.77
198705   2.15  -1.40   0.24   2.90   0.28   3.34  -0.53   1.20  -1.84   0.11
198706   6.51   3.05   4.91   5.33   0.02   6.92   6.33   4.65   3.38   4.06
198707   5.92   7.01   6.90   3.93   0.98   7.27   5.67   5.75  -1.67   3.01
198708   4.68   5.65   2.89   1.90   7.36   5.22   3.25   1.95   3.71   3.75
198709  -2.41  -4.04   0.22  -3.90  -2.71   3.10  -6.01  -2.49  -2.29  -1.94
198710 -21.24 -26.91 -27.25 -18.73 -25.83 -13.53 -28.48 -20.43  -6.91 -22.20
198711  -8.80  -8.60  -5.17 -10.96  -9.81  -8.68  -8.42  -9.26  -2.49  -6.20
198712   7.24   8.59  10.78   6.64  11.80   4.69   8.12   5.29   0.60   5.09
198801   2.75   4.55   0.28   8.72  -2.43   8.62   5.81   6.36   9.75   6.96
198802   6.56   6.32   7.55   3.79   7.45   1.71  10.47   4.21  -1.46   3.78
198803  -1.20  -4.13  -1.28   2.89  -4.70  -3.28  -0.95  -2.57  -3.16  -1.52
198804  -0.18   2.83   1.57   4.34   2.57   0.39   1.69  -2.02  -0.28   0.03
198805  -0.99   1.28  -0.37  -0.26  -1.33   1.63  -1.50  -0.26   3.64   1.12
198806   2.90   8.20   7.52  -1.95   9.36   2.91   6.79   2.65   3.15   5.57
198807   1.24   0.02  -2.31   3.49  -5.10   0.02  -0.77   0.55  -0.28  -0.42
198808  -0.30  -6.34  -4.37  -1.49  -8.17  -3.05  -2.67  -1.10  -0.14  -0.62
198809   6.61   3.68   3.52  -2.39   2.77   7.36   8.05   3.84   2.70   3.81
198810   8.31   3.15   0.69   1.82   0.00   2.80   1.70   1.22   2.53   0.11
198811  -1.15  -0.91  -2.15  -0.30  -3.13   0.34  -2.77  -2.18  -0.50  -2.03
198812   3.23   0.40   3.04   1.82   4.89   1.62   1.38   1.81   1.06   0.94
198901   5.59   7.28   7.44   6.32   7.10   8.96   6.41   6.79   2.70   6.69
198902  -1.48  -2.81  -1.97  -1.32  -3.77  -1.22  -1.74  -1.15  -1.83  -0.21
198903   5.55  -1.59   1.20   3.81  -5.49   5.56   2.84   4.84   0.58   3.13
198904   5.76   0.38   5.37   2.61   5.21   9.63   5.35   5.39   3.88   4.62
198905   5.46   2.11   3.52   2.83   2.39   5.75   5.32   3.41   5.32   3.88
198906   1.43   1.39  -2.67  -0.96  -3.25  -0.02  -1.99  -2.73   3.35   0.81
198907  11.91   5.11   7.51   3.76   2.84   8.57   9.14  13.33   5.76   7.70
198908  -2.02   5.40   4.38   3.33   2.52   1.02   2.71   0.37  -0.79   3.47
198909  -0.53  -4.59  -2.49   1.42  -2.73   3.81  -2.29   2.38   0.44   1.66
198910  -2.47  -5.71  -4.32   0.45  -4.48  -2.03  -4.07   0.36   1.06  -4.60
198911   1.66  -1.18   3.01   3.91  -1.83   2.00   1.35   4.53   3.25   0.06
198912   1.34  -1.45   2.90   5.83  -1.11   5.73   1.25   1.04   4.80  -1.25
199001  -9.42  -3.52  -6.23  -4.14  -1.18 -13.40  -6.23  -7.36  -5.37  -8.36
199002  -0.41   5.13   2.46   2.98   4.07  -0.34   1.94  -2.06   0.22   2.57
199003   4.56   2.90   3.88  -0.50   4.50   4.18   5.28   3.86  -0.76  -0.24
199004  -0.28  -4.03  -2.65  -3.57  -1.98  -3.46  -1.87   0.29  -5.47  -3.36
199005   9.05   7.76   8.05   5.91  12.48   9.40  11.66  12.75   5.45   8.85
199006   2.06  -2.25  -0.49  -2.03  -1.23  -4.70   1.60   4.43   0.70  -1.61
199007  -0.80  -3.48   0.47   8.21  -7.51  -4.59  -4.01   2.59   0.87  -3.46
199008  -7.37 -14.24 -11.89  -1.23 -11.98 -10.67 -12.11  -6.82  -6.65 -11.21
199009  -4.09 -10.58  -8.09  -1.58  -6.66   1.30  -8.25  -4.34   0.55  -9.85
199010   2.50  -3.21  -1.49  -4.14  -3.31   2.80  -3.03   1.43   7.28  -5.83
199011   6.54   4.11   7.15   1.65  11.25   3.10  10.30   9.45   2.27  10.28
199012   4.41  -0.44   4.86  -2.18   4.15   1.75   3.39   2.75   0.76   5.38
199101   5.14   7.29   6.56  -2.00  15.11   0.18   9.41   4.53  -1.37   7.35
199102  10.27  10.24   5.84   8.33   6.38   3.41   8.04   9.84   4.84   9.55
199103   4.79   1.16   1.48   1.30   0.72   2.28   8.61   5.43   1.69   3.10
199104  -0.97  -2.35   0.34   2.48  -2.90   1.13   1.95  -1.12   0.07   1.33
199105   3.59  14.72   7.43  -1.41   3.57  -1.45   7.53   4.61   0.16   4.95
199106  -4.95  -4.46  -4.21  -3.66  -8.84  -1.90  -4.17  -4.16  -2.37  -5.16
199107   5.64  -0.41   3.46   4.87   4.76   3.17   5.39   8.44   3.96   4.77
199108   5.40  -2.13   1.92   1.73   2.84   0.84   3.68   2.86   3.54   3.06
199109  -3.28  -2.68  -2.24  -0.70  -1.23   0.55  -3.24  -0.41   3.76  -0.54
199110  -0.65  -1.99   1.26   2.00   2.08   2.11  -1.96   6.64   1.26   2.34
199111  -0.52  -7.97  -5.32  -7.62  -4.36  -4.92  -1.21  -2.56   1.87  -5.25
199112  14.62   7.64  11.20   2.00   9.12   9.83  13.00  16.44   5.02  12.39
199201  -3.06  10.49   2.61  -4.23   6.63  -2.62   0.34  -5.54  -4.65   2.16
199202   1.05  12.28   1.97  -0.50   3.89  -1.21   2.60  -2.59  -1.25   3.24
199203  -1.58   0.79  -1.17  -2.71  -5.20  -0.98  -1.33  -5.47  -0.56  -2.08
199204   0.72   7.90   3.26   9.50  -1.01   6.85  -3.48  -2.15   2.65   0.56
199205   1.39  -1.92  -0.69   3.16   0.05  -1.70   0.18   1.09   2.52   1.57
199206  -2.86   2.16  -2.89  -3.46  -4.09   1.20  -1.90  -4.69   0.53   0.07
199207   4.62   0.36   2.83   5.30   3.00   5.37   3.84   5.73   6.69   3.23
199208   0.84  -9.44  -3.39   2.53  -4.55  -1.04  -0.55  -3.31  -0.48  -3.35
199209   1.04   0.28   1.81   0.12   3.38   1.81   4.04  -4.87   0.81   3.45
199210  -0.89   0.01   0.90  -3.48   2.06  -0.53   4.30   3.33  -0.43   2.97
199211   3.66   8.66   3.41  -2.67   6.37   4.29   7.20   4.87  -0.22   6.00
199212   0.07   3.36   1.38   2.01  -0.02   5.56   0.62  -1.40   2.71   3.83
199301  -0.73   9.38  -0.03   2.74   4.83   1.16   0.04  -6.77   2.42   3.26
199302  -2.11  -0.34   1.53   6.00  -0.33   5.72  -1.52  -8.94   6.23   0.42
199303   0.10   5.45   2.26   4.07   2.20   3.22   2.77   0.81   1.78   3.89
199304  -9.28   2.32   0.15   1.11  -3.67  -2.87  -8.15   1.31  -0.16  -3.22
199305   2.73   1.17   2.21   1.76   8.84   4.23   5.87   3.62  -0.06   1.70
199306  -0.70   3.34  -0.46  -1.08  -0.42   4.64  -2.88  -2.93   3.18   2.23
199307  -2.29   1.68  -0.21   0.50  -3.89   2.15   0.66  -5.99   1.95   2.06
199308   4.22   0.52   3.39   4.18   6.35   5.47   3.98   3.06   3.69   3.45
199309  -1.77   0.80  -1.65   1.50   1.35  -0.47  -0.33   0.92  -0.65   1.69
199310   6.03   7.51   2.95  -1.90   1.58   2.61   4.60   6.00  -1.96  -2.27
199311   0.70   0.84   1.28  -5.80   0.00  -6.04   0.67   1.11  -5.55  -2.80
199312   1.59   4.51   3.85   0.49   2.96  -0.43  -2.09   2.48   1.58   2.60
199401  -0.46   6.96   5.02   4.92   4.73   2.01   0.64   1.93  -1.22   4.40
199402  -1.35  -4.36  -0.76  -2.95   1.68  -5.54   1.98  -5.45  -4.95  -3.90
199403  -4.07  -6.42  -4.38  -3.62  -3.89  -3.73  -4.61  -6.72  -3.93  -4.27
199404   1.24  -0.45   0.27   4.12  -1.57   1.42   0.27   2.40   2.11   1.32
199405  -1.34  -2.78   2.04   0.85   2.09   1.67  -1.90   4.35  -5.35   3.01
199406  -1.78  -3.43  -2.63  -2.75  -5.23   0.71  -2.63  -3.68  -3.13  -2.62
199407   2.94   3.71   4.57   3.33   3.87   3.20   0.79   1.04   5.15   2.67
199408   5.96  -0.22   4.73   0.00   9.33   1.16   4.55  10.72   0.66   3.49
199409  -0.32  -5.06  -1.55  -2.11  -0.51  -1.06  -2.29   1.72  -2.78  -4.18
199410   2.13  -1.48   0.66   7.33   7.25  -0.09   1.21   0.88   1.55   0.05
199411  -1.66  -5.06  -5.44  -4.85  -2.14  -5.45  -3.38   0.44   0.26  -5.15
199412   1.32   3.82   4.25  -0.94   2.47   0.90  -2.83   0.53   0.35   1.43
199501   1.89  -5.84  -0.37   0.39  -0.82   4.20   1.55   6.15   6.23   4.67
199502   3.02   5.06   5.14   4.50   6.76   1.51   2.66   2.23   0.82   4.87
199503   2.69   1.42   3.75   5.21   4.53   0.28   3.50   2.68  -1.75   1.93
199504   1.85   1.41   2.92   2.31   8.29   1.59  -1.66   3.05   2.38   1.64
199505   4.69   4.84   3.29   4.01   3.04   0.63   2.72   1.63   6.01   4.46
199506   1.77   0.84   2.00  -3.13   9.79   3.86   4.96   4.46  -0.46   2.19
199507   1.23   2.64   3.86   2.29   7.87   5.15   3.53   5.22  -0.38   4.82
199508   0.68   0.72  -0.58  -1.70  -0.09   4.38  -2.76   1.03   0.98   3.69
199509   6.72  -0.52   2.39   1.35   1.25   5.64   2.82   7.43   6.24   4.51
199510   0.39  -4.78  -2.79  -0.20   1.47  -0.04  -5.50   1.15   1.48  -2.02
199511   4.50   5.45   6.04   4.75  -0.73   2.63   6.16   4.85   1.56   6.13
199512   1.64   3.15   1.30   5.68  -4.20   3.98  -0.82   5.94   5.06   1.09
199601   2.65   3.49   3.18  -0.34   1.92   2.29  -0.36   5.93   1.91   3.51
199602   3.14   2.02   0.80   1.09   6.34  -2.18   4.33  -1.07  -2.58   2.15
199603  -0.93   4.29   3.22   4.92  -3.45  -1.88   5.98   0.24  -0.47   1.72
199604   0.11   3.54   1.72   3.42   9.95   2.81   4.24  -0.61  -2.59   0.24
199605   6.58   2.24   2.24   0.51   3.86  -0.04   4.42   3.94   1.35   1.52
199606   3.27  -4.92  -0.27   0.87  -4.93   0.49  -1.64  -0.19   5.21  -0.29
199607  -4.10  -4.17  -4.09  -4.64  -7.51  -8.51  -7.54  -6.04  -5.82  -4.28
199608  -0.73   3.16   3.10   2.92   4.41  -0.97   5.82   4.19   2.89   3.89
199609   3.71   2.36   5.95   3.99  10.59   1.61   3.52   7.33   0.67   5.04
199610   1.78   0.15   1.65   5.79  -1.24  -0.74  -2.25  -0.69   3.61   3.93
199611   5.14   6.01   6.06   5.53  12.03   5.60   3.09   6.68   2.61   7.50
199612   0.52  -3.09  -0.13   0.77  -2.57   2.52  -3.49  -2.66   0.14  -1.77
199701   5.53   3.16   4.10   4.30   9.41   2.43   0.18   9.56   0.90   5.98
199702   4.12   0.35   0.76  -5.58  -7.46   2.39   3.04   0.95  -0.56   2.65
199703  -5.13  -3.93  -3.62   5.20  -5.54  -7.67  -1.31  -7.42  -2.76  -5.87
199704   5.26   2.30   5.11   0.09   8.21   2.63   2.18   6.13  -1.39   5.17
199705   5.91   6.65   7.75   7.27  10.12   6.53   6.03   6.92   3.77   6.27
199706   3.58   3.92   5.11   1.29   1.34   3.71   5.03   8.88   2.99   5.34
199707   3.38   7.80   7.04   7.42  15.96   2.66   7.76   2.06   2.80   9.15
199708  -6.26   1.21  -5.55   0.21  -1.32  -2.47  -2.56  -6.14  -1.14  -4.71
199709   5.60   5.27   3.28   6.32   3.46   9.70   5.15   6.59   4.65   7.91
199710  -3.14  -3.23  -5.75  -2.05  -8.41   2.97  -2.18   0.27   0.94  -2.64
199711   6.46  -1.58   4.21  -3.49   1.46  10.49   5.34   2.82   7.09   2.99
199712   3.76   4.39  -0.42  -1.49  -4.20   4.35  -0.27   3.54   7.97   5.27
199801  -2.89   0.53   0.41  -5.68   5.23   4.87   0.94   5.74  -4.35  -2.05
199802   5.06  12.55   7.08   6.81  10.42   2.63  10.46   5.45   2.65   8.04
199803   5.71   6.31   4.77   4.69   1.30   9.78   6.55   3.58   6.77   5.83
199804  -3.15   1.05   1.10   3.77   5.11  -3.16  -0.38   1.94  -2.50   1.78
199805   1.10   7.24  -2.25  -4.17  -6.96  -1.51   2.14  -2.49  -0.88  -3.08
199806   3.79   1.79  -0.62  -1.30   8.72   2.97   4.79   6.16   2.90   3.07
199807  -4.02  -1.15  -5.88  -6.68   0.50   3.79  -3.10  -0.22  -5.35  -1.73
199808 -13.03 -19.38 -14.14 -10.19 -17.53 -11.77 -14.15 -12.23   2.25 -21.36
199809   1.46   1.56   0.55  12.81  15.14   9.34   1.45  11.98   7.97   2.74
199810  10.81  11.68  10.81   1.26   6.31   6.78  10.63   3.84  -1.75   8.52
199811   6.31   4.27   3.75   0.56  11.65   3.78   9.54   6.16   1.35   6.08
199812   0.61   4.30   2.38  -1.17  15.26  14.10   8.97   5.02   2.83   3.38
199901  -3.43   5.52   0.75  -5.51  14.99   8.79   2.40   0.25  -6.26   1.11
199902  -3.74  -4.38  -1.89  -3.12 -11.46  -2.93  -1.51   0.22  -3.77   0.05
199903  -1.99  -0.90   4.96  15.33   8.46  -0.81   2.90   2.55  -1.68   2.48
199904   3.85  10.26   9.04  15.92   2.33   8.35   0.53  -5.54   7.18   6.66
199905   1.28  -5.55  -2.78  -3.09  -0.62   1.08  -2.89  -2.04   6.71  -3.68
199906   0.34   0.56   4.69  -1.49  11.58   5.74   7.82   4.45  -4.28   3.19
199907  -2.46  -6.61  -1.05   1.61  -1.79  -1.61  -5.05  -4.43  -0.61  -5.98
199908  -4.61   1.20  -0.81   1.83   5.44  -7.54  -5.98   3.74   0.62  -5.15
199909  -6.74  -7.88  -2.86  -3.88  -0.19   4.36   1.43  -7.10  -4.31  -4.31
199910   6.34   5.29   5.34  -1.57   3.26   8.87   3.42  10.75   2.14  11.27
199911  -1.23  -2.03  -0.71   3.74  12.87   4.33   4.27   1.50  -7.32  -2.21
199912  -2.48   3.20  10.52   0.65  20.66   4.20   6.65  -5.61  -2.34   1.49
200001  -4.81  -0.75  -7.55   0.89  -4.70  -3.98 -11.25   7.57   5.64  -4.66
200002  -6.22  -8.40  -2.96  -5.56  18.09  -3.44  -3.76  -2.67  -7.16  -6.98
200003   7.78  10.70   5.79  12.17   3.99   7.53  13.46   0.11   5.70  14.05
